Location,DO_min,DO_max,pH_min,pH_max,Conductivity_min,Conductivity_max,BOD_min,BOD_max,NitrateN_min,NitrateN_max,Faecal_Coliform_min,Faecal_Coliform_max,Total_Coliform_min,Total_Coliform_max,COD_min,COD_max
MAGURI BEEL,5.0,8.1,6.6,7.3,110,168,1.9,2.7,0.5,1.1,300,360,730,1500,11.8,14.0
KAMALPUR BEEL,1.7,4.0,7.1,7.8,992,1030,21.0,25.0,2.0,2.8,720,2100,1500,3600,82.8,92.0
SILSAKO BEEL,0.6,4.6,7.0,7.5,344,442,10.6,18.2,0.7,1.9,1500,2800,2700,3600,18.6,32.4
SON BEEL,4.5,6.9,6.8,7.3,118,144,2.0,2.8,0.7,1.1,300,620,910,1200,9.6,13.0
CHAND DUBI BEEL,5.3,9.2,6.8,7.9,112,132,2.1,2.7,0.6,0.8,300,360,720,1500,10.8,13.6
SORU SOLA BEEL,0.3,1.1,7.0,7.5,362,432,12.6,23.6,0.7,4.4,2800,3600,4200,5300,47.6,60.0
BORSOLA BEEL,0.3,1.1,6.8,7.6,360,460,12.8,25.2,0.6,4.0,2700,2900,4200,4400,47.2,534.0
JAYSAGAR TANK,5.1,7.6,6.9,7.6,92,122,1.8,2.6,0.6,0.9,300,360,720,910,10.2,13.0
BORPUKHURI,5.2,7.9,6.8,7.4,92,114,1.9,2.8,0.7,1.0,300,360,700,1100,10.6,13.6
GAURISAGAR TANK,5.0,7.5,6.7,7.5,97,128,1.6,2.7,0.7,1.1,300,910,730,1500,7.8,15.1
PADUMPUKHURI,6.8,7.9,6.9,7.4,150,234,2.2,2.7,0.6,1.2,300,360,600,1400,9.9,14.0
GOHPUR TANK,6.8,7.3,6.8,7.5,128,170,2.0,2.4,0.6,0.9,300,360,720,1200,11.0,13.6
BATODRAWA SATRA POND,5.0,7.6,6.7,7.8,81,112,1.8,2.7,0.8,1.2,300,360,730,1200,11.4,13.6
DIGHALI PUKHURI,5.1,10.0,7.9,8.2,176,200,2.3,2.8,0.6,1.3,360,730,1400,1600,10.4,13.4
